Distancia 0 mm ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORA,LED_ROJO,LED_VERDE,LED_AZUL,,HORA,LED_ROJO,LED_VERDE,LED_AZUL,,HORA,LED_ROJO,LED_VERDE,LED_AZUL,,HORA,LED_ROJO,LED_VERDE,LED_AZUL,,HORA,LED_ROJO,LED_VERDE,LED_AZUL,,V_Rojo,V_Verde,V_Azul,,,,HORA,Numero_bits, Error_total,,HORA,Numero_bits, Error_total,,HORA,Numero_bits, Error_total,,HORA,Numero_bits, Error_total,,HORA,Numero_bits, Error_total,,Numero Bits,Error total,,Numero Bits,Error total,,
4:28:58 p. m.,0.07,0.04,2.87,,4:30:31 p. m.,0.06,0.05,2.98,,4:32:06 p. m.,0.07,0.04,2.89,,4:34:29 p. m.,0.07,0.05,2.9,,4:36:04 p. m.,0.06,0.03,2.88,,0.0675,0.048,2.334,,,,4:40:37 p. m.,0,0,,4:40:37 p. m.,0,0,,4:40:37 p. m.,0,0,,4:39:15 p. m.,0,0,,4:37:38 p. m.,0,0,,0,0,,0,0,,
4:29:00 p. m.,0.26,0.11,2.17,,4:30:33 p. m.,0.25,0.11,2.18,,4:32:08 p. m.,0.25,0.1,2.12,,4:34:31 p. m.,0.26,0.11,2.14,,4:36:06 p. m.,0.25,0.1,2.15,,0.255,0.136,1.742,,,,4:40:38 p. m.,0,0,,4:40:38 p. m.,0,0,,4:40:38 p. m.,0,0,,4:39:16 p. m.,0,0,,4:37:39 p. m.,0,0,,0,0,,0,0,,
4:29:02 p. m.,0.44,0.16,1.77,,4:30:34 p. m.,0.43,0.17,1.68,,4:32:09 p. m.,0.44,0.15,1.73,,4:34:32 p. m.,0.45,0.16,1.76,,4:36:07 p. m.,0.43,0.15,1.71,,0.44,0.214,1.418,,,,4:40:39 p. m.,0,0,,4:40:39 p. m.,0,0,,4:40:39 p. m.,0,0,,4:39:17 p. m.,0,0,,4:37:41 p. m.,0,0,,0,0,,0,0,,
4:29:03 p. m.,0.62,0.21,2.28,,4:30:36 p. m.,0.62,0.22,2.28,,4:32:11 p. m.,0.62,0.2,2.25,,4:34:34 p. m.,0.63,0.21,2.28,,4:36:09 p. m.,0.61,0.2,2.31,,0.6225,0.29,1.858,,,,4:40:41 p. m.,0,0,,4:40:41 p. m.,0,0,,4:40:41 p. m.,0,0,,4:39:19 p. m.,0,0,,4:37:42 p. m.,0,0,,0,0,,0,0,,
4:29:05 p. m.,0.81,0.28,3,,4:30:38 p. m.,0.8,0.28,2.93,,4:32:13 p. m.,0.8,0.27,2.95,,4:34:36 p. m.,0.81,0.27,2.88,,4:36:11 p. m.,0.79,0.26,2.9,,0.805,0.378,2.404,,,,4:40:42 p. m.,0,0,,4:40:42 p. m.,0,0,,4:40:42 p. m.,0,0,,4:39:20 p. m.,0,0,,4:37:44 p. m.,0,0,,0,0,,0,0,,
4:29:07 p. m.,0.99,0.34,2.76,,4:30:40 p. m.,0.98,0.35,2.67,,4:32:15 p. m.,0.98,0.33,2.75,,4:34:38 p. m.,0.99,0.34,2.69,,4:36:13 p. m.,0.97,0.32,2.66,,0.985,0.466,2.238,,,,4:40:44 p. m.,0,0,,4:40:44 p. m.,0,0,,4:40:44 p. m.,0,0,,4:39:22 p. m.,0,0,,4:37:45 p. m.,0,0,,0,0,,0,0,,
4:29:09 p. m.,1.17,0.4,2,,4:30:42 p. m.,1.16,0.41,1.9,,4:32:16 p. m.,1.16,0.39,1.97,,4:34:40 p. m.,1.17,0.4,1.91,,4:36:14 p. m.,1.15,0.38,1.88,,1.165,0.55,1.632,,,,4:40:45 p. m.,0,0,,4:40:45 p. m.,0,0,,4:40:45 p. m.,0,0,,4:39:23 p. m.,0,0,,4:37:47 p. m.,0,0,,0,0,,0,0,,
4:29:11 p. m.,1.34,0.45,1.9,,4:30:43 p. m.,1.33,0.45,1.88,,4:32:18 p. m.,1.33,0.44,1.87,,4:34:41 p. m.,1.34,0.44,1.86,,4:36:16 p. m.,1.32,0.43,1.81,,1.335,0.62,1.588,,,,4:40:47 p. m.,0,0,,4:40:47 p. m.,0,0,,4:40:47 p. m.,0,0,,4:39:25 p. m.,0,0,,4:37:48 p. m.,0,0,,0,0,,0,0,,
